================ Training Loss (Mon Dec  1 19:21:04 2025) ================
================ Training Loss (Mon Dec  1 19:21:52 2025) ================
[Rank 0] (epoch: 6, iters: 1600, time: 0.136, data: 0.005) , D_A: 0.250, G_A: 0.275, cycle_A: 0.042, idt_A: 0.029, D_B: 0.383, G_B: 0.397, cycle_B: 0.069, idt_B: 0.020

[Rank 0] (epoch: 6, iters: 1800, time: 0.136, data: 0.005) , D_A: 0.243, G_A: 0.284, cycle_A: 0.044, idt_A: 0.024, D_B: 0.251, G_B: 0.252, cycle_B: 0.071, idt_B: 0.020

[Rank 0] (epoch: 7, iters: 40, time: 0.136, data: 0.005) , D_A: 0.242, G_A: 0.275, cycle_A: 0.058, idt_A: 0.039, D_B: 0.252, G_B: 0.250, cycle_B: 0.106, idt_B: 0.023

[Rank 0] (epoch: 7, iters: 240, time: 0.152, data: 0.006) , D_A: 0.255, G_A: 0.276, cycle_A: 0.051, idt_A: 0.028, D_B: 0.251, G_B: 0.250, cycle_B: 0.089, idt_B: 0.018

[Rank 0] (epoch: 7, iters: 440, time: 0.136, data: 0.005) , D_A: 0.248, G_A: 0.230, cycle_A: 0.058, idt_A: 0.028, D_B: 0.251, G_B: 0.251, cycle_B: 0.069, idt_B: 0.024

[Rank 0] (epoch: 7, iters: 640, time: 0.136, data: 0.005) , D_A: 0.256, G_A: 0.312, cycle_A: 0.054, idt_A: 0.035, D_B: 0.251, G_B: 0.250, cycle_B: 0.083, idt_B: 0.023

[Rank 0] (epoch: 7, iters: 840, time: 0.135, data: 0.005) , D_A: 0.250, G_A: 0.230, cycle_A: 0.039, idt_A: 0.028, D_B: 0.250, G_B: 0.253, cycle_B: 0.072, idt_B: 0.018

[Rank 0] (epoch: 7, iters: 1040, time: 0.136, data: 0.005) , D_A: 0.258, G_A: 0.340, cycle_A: 0.043, idt_A: 0.028, D_B: 0.250, G_B: 0.256, cycle_B: 0.075, idt_B: 0.016

[Rank 0] (epoch: 7, iters: 1240, time: 0.136, data: 0.005) , D_A: 0.244, G_A: 0.273, cycle_A: 0.045, idt_A: 0.026, D_B: 0.250, G_B: 0.251, cycle_B: 0.068, idt_B: 0.019

[Rank 0] (epoch: 7, iters: 1440, time: 0.136, data: 0.005) , D_A: 0.242, G_A: 0.303, cycle_A: 0.038, idt_A: 0.026, D_B: 0.250, G_B: 0.251, cycle_B: 0.065, idt_B: 0.017

[Rank 0] (epoch: 7, iters: 1640, time: 0.136, data: 0.005) , D_A: 0.232, G_A: 0.284, cycle_A: 0.056, idt_A: 0.029, D_B: 0.250, G_B: 0.247, cycle_B: 0.087, idt_B: 0.021

[Rank 0] (epoch: 7, iters: 1840, time: 0.136, data: 0.005) , D_A: 0.250, G_A: 0.226, cycle_A: 0.041, idt_A: 0.027, D_B: 0.250, G_B: 0.251, cycle_B: 0.068, idt_B: 0.017

[Rank 0] (epoch: 8, iters: 80, time: 0.136, data: 0.005) , D_A: 0.244, G_A: 0.290, cycle_A: 0.056, idt_A: 0.028, D_B: 0.252, G_B: 0.238, cycle_B: 0.068, idt_B: 0.021

[Rank 0] (epoch: 8, iters: 280, time: 0.150, data: 0.005) , D_A: 0.248, G_A: 0.240, cycle_A: 0.044, idt_A: 0.025, D_B: 0.250, G_B: 0.247, cycle_B: 0.061, idt_B: 0.020

[Rank 0] (epoch: 8, iters: 480, time: 0.135, data: 0.005) , D_A: 0.258, G_A: 0.358, cycle_A: 0.044, idt_A: 0.029, D_B: 0.250, G_B: 0.252, cycle_B: 0.059, idt_B: 0.021

